ticker,type,ticker_api,name,id,sid
SNXT50BETA,etf,SNXT50BETA,UTI BSE Sensex Next 50 ETF,UTIP,UTIP
LICNFNHGP,etf,LICNFNHGP,LIC MF Nifty 100 ETF,LICU,LICU
NEXT50ADD,etf,NEXT50ADD,DSP Nifty Next 50 ETF,NEXTA,NEXTA
NEXT30ADD,etf,NEXT30ADD,DSP BSE Sensex Next 30 ETF,NEXT,NEXT
MONEXT50,etf,MONEXT50,Motilal Oswal Nifty Next 50 ETF,MONEX,MONEX
GROWWLOVOL,etf,GROWWLOVOL,Groww Nifty 500 Low Volatility 50 ETF,GROWL,GROWL
ENIFTY,etf,ENIFTY,Edelweiss Nifty 50 ETF,ENI,ENI
SENSEXADD,etf,SENSEXADD,DSP BSE Sensex ETF,DSPSE,DSPSE
LICNETFSEN,etf,LICNETFSEN,LIC MF BSE Sensex ETF,LICM,LICM
ESENSEX,etf,ESENSEX,Edelweiss BSE Sensex ETF,ESE,ESE
LOWVOL,etf,LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF,MANV,MANV
MIDCAPIETF,etf,MIDCAPIETF,ICICI Prudential Nifty Midcap 150 ETF,IICP,IICP
SMALLCAP,etf,SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Ql 100 ETF,SMAL,SMAL
MOM100,etf,MOM100,Motilal Oswal Nifty Midcap 100 ETF,M100,M100
HDFCSML250,etf,HDFCSML250,HDFC NIFTY Smallcap 250 ETF,HDFCH,HDFCH
MID150BEES,etf,MID150BEES,Nippon India ETF Nifty Midcap 150,NTFM,NTFM
MIDCAPETF,etf,MIDCAPETF,Mirae Asset Nifty Midcap 150 ETF,MAME,MAME
MOSMALL250,etf,MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,MOSM,MOSM
MID150CASE,etf,MID150CASE,Zerodha Nifty Midcap 150 ETF,MIDC,MIDC
HDFCMID150,etf,HDFCMID150,HDFC NIFTY Midcap 150 ETF,HDFCD,HDFCD
SML100CASE,etf,SML100CASE,Zerodha Nifty Smallcap 100 ETF,SMLC,SMLC
MIDCAP,etf,MIDCAP,Kotak Nifty Midcap 50 ETF,KOTAM,KOTAM
ELM250,etf,ELM250,Edelweiss Nifty LargeMidcap 250 ETF,ELM,ELM
SMALL250,etf,SMALL250,Mirae Asset Nifty Smallcap 250 ETF,SMALL,SMALL
MID150,etf,MID150,Kotak Nifty Midcap 150 ETF,MII,MII
MIDSELIETF,etf,MIDSELIETF,ICICI Prudential BSE Midcap Select ETF,ICIU,ICIU
